Date,Product_ID,Store_ID,Units_Sold,Revenue,Promotion,Holiday
2022-01-01,P101,S1,129,3870,1,0
2022-01-01,P101,S2,119,4760,0,0
2022-01-01,P101,S3,126,5418,0,0
2022-01-01,P102,S1,137,5480,1,0
2022-01-01,P102,S2,114,5358,0,0
2022-01-01,P102,S3,130,4030,0,0
2022-01-01,P103,S1,85,3995,1,0
2022-01-01,P103,S2,131,4454,0,0
2022-01-01,P103,S3,112,4704,1,0
2022-01-01,P104,S1,130,5720,0,0
2022-01-01,P104,S2,104,2704,0,0
2022-01-01,P104,S3,127,5588,1,0
2022-01-01,P105,S1,112,4480,0,0
2022-01-01,P105,S2,136,6392,0,0
2022-01-01,P105,S3,121,4114,0,0
2022-01-02,P101,S1,106,3816,0,1
2022-01-02,P101,S2,103,2575,0,1
2022-01-02,P101,S3,138,3174,0,1
2022-01-02,P102,S1,133,3591,0,1
2022-01-02,P102,S2,124,5828,0,1
2022-01-02,P102,S3,106,3922,0,1
2022-01-02,P103,S1,98,4214,0,1
2022-01-02,P103,S2,127,3556,0,1
2022-01-02,P103,S3,95,3040,0,1
2022-01-02,P104,S1,130,2860,1,1
2022-01-02,P104,S2,135,6210,0,1
2022-01-02,P104,S3,109,2834,1,1
2022-01-02,P105,S1,117,3627,0,1
2022-01-02,P105,S2,119,5117,0,1
2022-01-02,P105,S3,115,3565,0,1
2022-01-03,P101,S1,100,2400,1,0
2022-01-03,P101,S2,117,2574,1,0
2022-01-03,P101,S3,124,3224,0,0
2022-01-03,P102,S1,107,3638,0,0
2022-01-03,P102,S2,103,4017,0,0
2022-01-03,P102,S3,97,2231,1,0
2022-01-03,P103,S1,93,2790,0,0
2022-01-03,P103,S2,79,2528,0,0
2022-01-03,P103,S3,89,1869,0,0
2022-01-03,P104,S1,94,4606,0,0
2022-01-03,P104,S2,105,3255,0,0
2022-01-03,P104,S3,106,5194,0,0
2022-01-03,P105,S1,91,4004,0,0
2022-01-03,P105,S2,97,4268,1,0
2022-01-03,P105,S3,62,1488,0,0
2022-01-04,P101,S1,107,3103,0,0
2022-01-04,P101,S2,99,4257,1,0
2022-01-04,P101,S3,108,3888,0,0
2022-01-04,P102,S1,89,2314,0,0
2022-01-04,P102,S2,89,3204,0,0
2022-01-04,P102,S3,101,4242,0,0
2022-01-04,P103,S1,107,2140,0,0
2022-01-04,P103,S2,107,4815,1,0
2022-01-04,P103,S3,131,5502,0,0
2022-01-04,P104,S1,90,2250,0,0
2022-01-04,P104,S2,113,4407,1,0
2022-01-04,P104,S3,120,4200,1,0
2022-01-04,P105,S1,96,4512,0,0
2022-01-04,P105,S2,113,5311,0,0
2022-01-04,P105,S3,108,4104,1,0
2022-01-05,P101,S1,93,2418,0,0
2022-01-05,P101,S2,118,2360,0,0
2022-01-05,P101,S3,120,3600,0,0
